school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,part_time_job
GP,M,19,R,LE3,T,2,4,services,other,course,father,4,4,2,no,yes,yes,yes,no,no,yes,no,1,3,2,2,3,4,7,16,17,17,yes
GP,M,15,U,GT3,A,0,4,teacher,other,course,father,3,1,1,no,yes,yes,yes,yes,yes,no,no,1,4,2,2,5,5,20,12,16,16,no
MS,F,19,R,LE3,T,3,4,at_home,teacher,home,mother,4,4,0,no,yes,no,no,yes,no,no,no,5,3,2,2,1,4,24,5,5,1,no
GP,F,18,R,LE3,T,2,1,teacher,services,home,father,1,2,0,yes,yes,no,yes,no,no,yes,yes,4,5,4,3,5,4,1,17,19,18,yes
MS,M,15,U,LE3,A,3,3,other,teacher,other,father,2,1,3,no,no,yes,no,yes,no,no,no,4,4,4,5,2,4,20,13,15,18,yes
MS,F,19,U,LE3,T,3,1,teacher,services,home,mother,1,2,0,yes,yes,no,yes,yes,no,no,no,2,1,3,3,1,1,11,11,10,7,yes
MS,M,18,U,LE3,A,0,4,at_home,health,reputation,mother,1,3,1,yes,no,yes,no,no,yes,no,yes,3,3,1,3,4,4,29,11,9,5,yes
GP,F,19,R,GT3,A,3,4,at_home,teacher,reputation,father,2,1,1,yes,no,no,yes,yes,no,no,no,5,3,2,4,1,4,5,9,11,6,yes
MS,F,20,U,GT3,A,1,0,other,teacher,reputation,other,4,4,2,no,yes,no,no,yes,yes,no,yes,5,5,2,4,1,4,3,18,14,13,yes
GP,M,16,R,GT3,A,1,0,health,teacher,other,mother,3,1,0,no,no,yes,no,yes,no,yes,no,5,1,2,1,4,4,4,11,11,11,yes
GP,M,19,U,GT3,T,2,1,services,services,home,father,1,2,0,yes,no,no,no,yes,yes,yes,no,5,2,2,2,1,3,7,15,12,14,yes
GP,M,18,U,LE3,T,0,4,at_home,teacher,course,mother,2,2,0,no,yes,yes,yes,yes,no,yes,no,5,5,2,5,3,2,18,3,9,20,no
GP,M,19,U,LE3,T,2,3,health,services,course,father,1,4,0,yes,yes,no,yes,yes,no,yes,no,4,3,2,3,4,4,14,10,13,10,yes
MS,M,22,U,GT3,T,3,2,teacher,other,reputation,other,4,4,0,yes,yes,yes,yes,no,no,no,yes,1,4,3,4,4,5,5,6,9,5,no
MS,M,18,R,GT3,A,0,2,at_home,other,course,other,2,2,0,yes,no,yes,no,yes,no,yes,no,4,5,2,5,2,2,26,10,10,6,yes
MS,F,16,U,LE3,T,3,0,services,teacher,home,mother,4,2,0,no,no,yes,yes,yes,yes,no,yes,4,5,3,3,2,4,19,4,0,0,yes
GP,M,17,U,GT3,T,4,1,at_home,other,reputation,father,2,3,1,yes,yes,no,yes,yes,no,yes,no,5,3,2,3,1,3,5,6,9,7,yes
GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,8,6,5,no
MS,F,19,U,LE3,A,0,1,teacher,teacher,other,other,4,4,1,no,no,yes,yes,no,no,yes,no,4,5,5,1,3,3,7,10,9,5,yes
MS,M,22,R,LE3,T,1,3,services,health,home,father,1,3,1,yes,yes,no,yes,yes,yes,yes,yes,5,3,2,2,3,4,17,11,9,6,no
MS,F,16,U,GT3,A,1,3,health,other,home,mother,1,1,0,yes,yes,yes,yes,yes,no,yes,no,1,1,4,2,5,5,16,12,13,16,no
MS,M,19,R,GT3,A,1,4,health,services,course,mother,3,2,0,yes,no,no,yes,no,yes,yes,no,1,2,1,5,1,2,29,19,19,16,no
MS,M,21,R,LE3,A,3,0,services,at_home,home,other,2,2,2,no,no,yes,no,no,no,yes,no,2,5,2,5,4,2,27,5,1,0,yes
GP,M,17,R,GT3,T,0,0,other,services,home,father,2,3,2,yes,yes,no,no,yes,no,no,no,3,3,2,1,3,2,16,18,12,13,yes
GP,M,22,R,GT3,T,3,1,other,at_home,reputation,mother,2,1,0,no,no,yes,yes,yes,yes,yes,yes,4,3,5,2,1,3,17,17,14,16,yes
GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2,12,12,11,yes
MS,F,21,U,LE3,T,4,4,at_home,teacher,course,father,4,3,0,no,yes,no,yes,no,yes,yes,no,4,5,1,3,4,5,22,7,7,10,yes
MS,M,17,R,GT3,A,4,0,health,health,home,mother,1,4,0,no,no,no,no,no,no,yes,no,2,2,1,5,4,2,4,8,4,3,yes
MS,F,15,U,GT3,T,4,0,health,at_home,reputation,mother,2,1,0,yes,no,no,no,no,no,no,yes,1,2,2,2,3,1,23,5,8,5,no
GP,F,19,U,GT3,T,0,3,services,teacher,reputation,father,2,1,0,yes,yes,yes,no,no,no,no,no,5,1,2,1,1,4,14,8,11,13,no
GP,M,21,R,GT3,A,4,4,at_home,other,course,father,1,3,0,yes,yes,yes,yes,yes,yes,no,no,5,3,1,5,2,2,15,16,19,15,yes
GP,F,18,U,LE3,T,1,3,other,services,course,father,4,3,0,no,no,no,yes,no,yes,no,yes,1,2,3,3,1,2,15,17,16,17,yes
GP,F,16,U,GT3,T,1,3,at_home,teacher,other,mother,2,3,0,no,yes,yes,yes,yes,no,yes,yes,1,1,1,3,1,1,28,13,13,17,yes
MS,F,15,U,GT3,A,4,1,other,services,home,other,3,1,0,no,yes,no,yes,yes,yes,no,no,3,4,1,4,4,1,13,5,8,4,yes
GP,F,19,R,GT3,A,3,4,services,other,course,father,1,3,2,no,no,no,yes,no,no,yes,yes,1,3,4,5,2,3,17,13,13,16,yes
GP,M,17,U,LE3,T,4,3,teacher,at_home,other,other,1,2,0,yes,no,no,no,yes,no,no,no,4,2,5,5,5,3,14,13,11,15,no
MS,M,18,R,LE3,T,1,2,other,at_home,course,other,2,3,0,yes,no,yes,no,no,yes,no,no,1,4,1,3,3,5,23,17,17,18,no
MS,F,21,U,GT3,T,4,3,other,health,home,mother,1,1,0,no,yes,yes,yes,yes,no,no,yes,1,3,3,5,2,5,20,7,10,6,no
MS,M,22,R,LE3,T,3,2,services,other,other,father,3,4,3,no,yes,no,yes,no,no,yes,yes,2,3,5,4,2,3,28,4,0,0,no
MS,M,22,U,GT3,T,0,0,at_home,at_home,course,father,2,4,0,no,yes,yes,no,no,yes,no,no,3,2,5,1,3,3,23,19,19,16,no
GP,M,17,R,GT3,T,0,1,at_home,health,reputation,other,1,4,0,no,yes,no,no,no,yes,no,no,5,2,4,5,1,2,24,6,9,5,yes
MS,M,22,R,LE3,T,0,2,other,services,home,father,3,2,0,yes,yes,yes,yes,no,yes,yes,yes,5,2,4,3,4,5,20,10,14,10,no
MS,M,17,R,GT3,T,3,1,at_home,services,other,other,1,2,0,no,yes,no,yes,no,yes,yes,no,4,2,2,4,3,5,14,16,12,13,yes
MS,M,16,R,GT3,A,0,0,health,teacher,course,father,2,2,0,no,no,yes,yes,no,no,yes,no,5,5,3,3,1,5,11,17,14,12,yes
MS,F,17,R,GT3,T,1,1,other,services,reputation,mother,3,1,1,no,yes,yes,no,yes,yes,yes,yes,5,2,1,1,2,1,0,7,6,0,yes
GP,F,21,R,GT3,T,1,2,teacher,services,reputation,father,1,1,2,no,no,no,yes,yes,no,no,no,2,3,5,4,4,1,5,5,3,5,yes
MS,M,17,R,GT3,T,0,0,teacher,health,reputation,father,1,3,0,yes,no,no,no,yes,no,yes,no,2,5,1,3,4,1,10,15,17,19,no
MS,F,19,U,GT3,T,1,2,teacher,at_home,reputation,other,2,3,2,no,yes,no,no,yes,no,yes,yes,5,2,4,5,2,2,26,19,17,20,no
GP,F,15,U,LE3,A,1,0,other,at_home,reputation,father,1,1,0,no,no,yes,yes,no,yes,yes,no,1,1,1,4,5,3,7,1,12,17,yes
GP,M,18,R,GT3,A,4,3,other,at_home,reputation,other,3,4,0,no,no,no,yes,no,yes,yes,yes,5,4,4,2,5,3,13,7,4,8,yes
MS,F,22,U,GT3,A,2,2,other,health,other,father,4,4,0,no,yes,yes,no,yes,no,yes,no,3,1,4,4,2,3,16,8,5,3,yes
GP,M,15,U,GT3,T,4,0,services,teacher,home,father,2,4,0,yes,yes,yes,yes,no,yes,yes,no,2,2,1,4,3,3,17,17,18,20,no
MS,M,19,R,LE3,A,2,4,other,services,other,other,1,4,0,no,yes,yes,yes,no,yes,no,no,4,1,4,1,3,4,18,15,17,19,no
GP,M,16,U,LE3,T,0,0,at_home,teacher,other,father,3,4,0,yes,yes,no,yes,no,no,no,no,4,3,1,4,3,2,23,15,17,20,no
GP,M,21,R,LE3,T,1,2,teacher,at_home,reputation,father,3,3,2,no,yes,no,yes,yes,yes,no,yes,4,3,2,5,1,4,0,11,5,14,no
GP,F,17,U,LE3,T,2,4,services,services,course,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,2,1,1,5,0,14,15,15,no
GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,7,10,10,no
MS,M,18,R,LE3,A,1,0,other,other,course,mother,4,4,2,yes,no,no,no,yes,no,no,no,5,4,5,1,5,3,20,16,15,18,yes
GP,M,17,U,LE3,T,2,3,services,services,reputation,father,1,2,0,no,yes,yes,no,no,yes,yes,no,5,3,3,1,3,3,2,12,11,12,yes
MS,F,17,R,LE3,T,2,0,services,at_home,reputation,father,1,3,1,no,no,yes,yes,no,yes,yes,yes,4,1,3,5,5,2,2,0,3,17,no
MS,M,20,U,LE3,T,0,2,health,teacher,other,mother,3,3,1,no,yes,no,yes,yes,yes,yes,no,3,3,1,4,3,1,3,18,20,20,no
GP,F,17,U,GT3,T,2,3,at_home,other,home,father,2,1,0,no,yes,yes,no,yes,yes,no,no,3,3,3,1,4,3,3,7,7,8,yes
MS,F,20,U,LE3,T,3,1,services,services,course,other,3,2,3,no,yes,yes,yes,yes,yes,no,no,4,3,4,2,4,1,13,9,11,12,yes
MS,F,15,R,GT3,T,0,0,teacher,other,course,other,1,1,2,no,yes,no,no,yes,yes,yes,no,3,3,2,4,5,4,13,11,3,7,no
MS,F,15,U,GT3,A,4,2,teacher,services,other,other,4,2,0,no,no,yes,yes,no,yes,yes,yes,1,5,3,1,5,4,13,4,4,1,yes
GP,F,20,U,LE3,T,3,3,health,other,reputation,mother,4,4,0,yes,yes,yes,yes,yes,no,yes,yes,1,4,3,1,3,4,5,16,12,16,no
MS,M,15,U,LE3,T,4,1,other,services,reputation,mother,4,1,3,no,yes,yes,yes,yes,yes,no,no,2,5,1,1,2,4,19,16,2,17,yes
MS,F,15,R,LE3,A,4,0,at_home,health,home,mother,2,2,0,no,yes,no,no,yes,no,no,yes,4,2,2,2,5,3,5,7,4,4,yes
MS,F,19,U,LE3,T,4,0,teacher,other,reputation,mother,2,1,0,no,no,yes,no,yes,yes,yes,yes,5,5,2,3,3,2,10,7,7,10,no
MS,M,22,U,GT3,T,3,1,health,at_home,reputation,mother,2,4,0,no,no,yes,yes,yes,yes,no,yes,1,1,2,1,4,1,5,4,8,6,yes
MS,F,20,R,LE3,A,1,4,services,teacher,reputation,other,1,1,0,no,no,yes,no,yes,no,yes,yes,2,3,5,5,5,1,17,5,1,0,no
MS,F,19,U,LE3,A,0,1,services,health,course,other,2,3,3,yes,no,no,yes,no,no,no,yes,3,2,3,3,4,3,0,16,18,18,yes
GP,F,16,R,GT3,T,2,2,health,at_home,reputation,other,4,2,0,no,no,no,yes,no,yes,yes,yes,5,1,5,2,5,3,23,19,16,16,yes
GP,M,16,R,LE3,A,4,1,health,services,home,mother,3,1,0,yes,yes,no,yes,no,yes,no,no,3,4,5,2,5,4,3,19,17,13,yes
GP,F,17,R,GT3,T,3,2,at_home,teacher,reputation,mother,4,2,1,no,yes,no,yes,yes,no,no,yes,3,5,1,4,2,5,8,8,5,18,yes
MS,M,17,R,GT3,T,3,3,other,services,course,father,3,2,2,yes,no,no,no,yes,yes,no,no,5,1,2,5,5,3,5,18,13,5,yes
GP,M,20,U,GT3,A,3,1,at_home,teacher,other,mother,4,2,0,no,yes,yes,yes,no,no,yes,yes,1,3,1,1,1,1,27,5,3,7,no
GP,M,20,R,GT3,A,1,3,at_home,health,course,father,4,3,0,no,yes,no,no,yes,yes,no,no,5,1,4,5,3,4,14,9,14,17,yes
GP,F,20,R,LE3,T,3,4,other,services,other,other,3,4,0,yes,no,no,no,yes,yes,no,no,5,4,1,2,1,1,22,15,15,19,yes
MS,M,22,U,GT3,A,1,0,other,teacher,reputation,other,1,3,0,no,yes,no,no,yes,yes,no,yes,1,2,3,4,2,3,29,8,5,6,yes
GP,M,21,R,GT3,A,0,3,health,other,course,other,2,1,0,no,yes,no,yes,yes,no,yes,no,2,4,2,4,3,2,15,19,15,16,yes
GP,M,15,U,GT3,A,3,1,services,at_home,reputation,other,3,2,0,no,no,no,yes,yes,no,no,no,1,5,1,4,4,3,16,5,9,11,no
MS,F,16,U,GT3,A,4,1,at_home,at_home,reputation,father,1,1,0,no,no,no,yes,no,yes,yes,yes,3,2,1,5,2,3,19,7,6,2,no
MS,F,18,U,LE3,T,3,4,at_home,services,reputation,father,1,1,0,yes,no,no,yes,no,no,yes,yes,3,2,4,1,3,1,5,9,6,10,no
MS,F,19,U,GT3,A,3,1,other,at_home,course,other,3,4,0,no,no,yes,yes,yes,yes,yes,no,3,1,1,4,5,2,20,14,17,20,yes
GP,F,16,U,GT3,T,4,4,at_home,at_home,reputation,father,4,2,1,yes,yes,yes,no,no,yes,yes,yes,3,1,5,5,3,2,5,14,18,4,no
MS,M,15,U,GT3,T,2,1,health,health,other,father,1,1,0,yes,no,no,yes,no,yes,yes,yes,2,1,5,1,3,3,25,19,20,20,no
MS,M,21,R,LE3,A,0,2,teacher,teacher,course,other,2,3,0,yes,yes,no,no,yes,yes,no,no,4,5,4,3,1,2,23,9,12,14,yes
MS,F,18,R,LE3,A,1,0,services,services,other,father,3,4,0,yes,yes,yes,no,no,yes,no,no,2,3,2,5,2,5,23,8,7,7,yes
GP,F,21,R,GT3,A,1,1,teacher,other,other,mother,2,4,3,yes,no,no,no,no,no,yes,no,5,4,5,5,5,2,11,14,13,14,yes
GP,M,20,R,LE3,T,2,3,at_home,at_home,reputation,other,3,1,0,no,yes,yes,no,no,no,yes,no,1,5,2,2,4,4,22,16,14,11,no
GP,F,16,U,LE3,T,2,4,other,health,course,father,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,13,13,13,no
GP,F,21,U,LE3,A,3,2,services,other,other,father,3,4,0,yes,yes,yes,no,yes,yes,no,yes,1,2,5,1,1,3,19,11,7,6,yes
GP,F,17,R,GT3,A,4,2,at_home,at_home,course,other,2,3,0,no,yes,no,yes,no,no,no,no,4,4,5,5,4,4,29,5,5,4,no
MS,M,20,R,GT3,T,2,3,other,at_home,reputation,mother,2,3,0,yes,no,yes,no,no,yes,yes,no,3,3,2,1,2,1,23,19,17,18,no
MS,M,22,R,GT3,A,4,4,teacher,teacher,home,other,3,2,0,yes,yes,no,no,no,no,yes,yes,3,1,3,5,5,2,21,18,15,19,no
MS,M,15,R,GT3,A,4,3,services,at_home,home,other,4,2,0,yes,no,yes,no,yes,no,no,yes,4,3,2,1,1,5,0,11,11,10,no
MS,F,21,R,GT3,A,3,1,teacher,teacher,reputation,other,1,1,0,no,yes,yes,yes,yes,yes,no,no,2,1,1,3,1,5,10,10,12,11,yes
MS,F,21,U,GT3,T,3,3,teacher,other,other,father,3,3,0,no,no,no,no,yes,no,yes,yes,5,3,1,4,3,1,29,5,9,8,no
MS,M,19,R,LE3,A,0,1,services,at_home,course,mother,2,2,0,no,no,no,no,no,yes,yes,no,2,1,4,5,2,5,18,11,14,14,no
MS,F,18,R,GT3,T,3,1,teacher,teacher,other,other,1,2,1,no,yes,no,no,no,yes,no,no,3,3,4,2,4,2,16,17,16,20,yes
MS,M,20,U,GT3,A,0,0,health,health,course,mother,4,4,0,yes,yes,no,no,no,yes,yes,no,5,5,5,2,4,1,24,18,20,18,yes
MS,F,19,U,GT3,A,3,4,health,other,reputation,father,3,2,0,no,no,yes,no,no,yes,yes,no,1,5,3,5,3,2,27,14,12,8,no
GP,F,19,R,LE3,A,0,4,services,health,course,father,4,1,0,yes,yes,no,yes,no,no,no,yes,4,2,5,2,3,3,22,7,8,6,no
GP,M,16,U,GT3,A,4,4,services,at_home,reputation,mother,3,4,0,no,no,no,no,no,no,yes,yes,2,5,4,3,2,3,21,19,19,16,yes
MS,F,22,U,GT3,A,0,2,health,teacher,other,father,3,3,0,yes,yes,no,no,no,no,no,no,2,1,2,1,2,3,3,11,8,9,no
MS,M,19,U,GT3,A,0,1,other,health,home,other,2,2,1,no,no,no,no,yes,yes,yes,yes,3,3,3,1,1,1,10,19,20,18,yes
GP,F,21,R,LE3,T,0,1,at_home,other,home,father,3,1,0,no,yes,no,yes,no,no,yes,no,1,5,3,3,5,3,2,6,4,3,no
GP,F,18,U,LE3,T,2,1,services,services,course,mother,3,4,3,no,yes,yes,yes,yes,no,yes,yes,4,3,1,5,2,1,9,6,16,6,no
GP,M,18,U,LE3,T,3,1,teacher,services,other,other,2,3,0,no,yes,yes,yes,no,yes,yes,no,5,3,4,3,2,4,1,10,13,15,no
GP,F,15,U,GT3,T,3,3,services,at_home,course,other,4,1,0,no,yes,yes,no,no,yes,yes,no,1,3,2,2,2,4,13,14,11,15,yes
GP,F,15,R,LE3,T,3,3,services,health,reputation,father,1,3,1,no,no,yes,yes,yes,yes,no,no,5,4,5,5,1,4,5,10,15,12,no
GP,F,19,U,LE3,A,0,4,other,teacher,other,other,4,2,2,no,no,yes,no,yes,no,no,no,1,2,3,4,3,4,10,14,15,14,no
MS,F,17,R,LE3,A,1,0,teacher,teacher,home,father,3,1,1,yes,no,no,no,no,yes,no,no,4,4,5,2,2,2,10,3,2,7,yes
GP,M,18,U,LE3,T,3,3,services,health,home,father,1,2,1,no,yes,yes,no,yes,yes,yes,no,3,2,4,2,4,4,13,6,6,8,yes
GP,F,17,R,GT3,T,1,0,health,other,home,other,1,2,0,no,no,yes,no,no,no,no,no,4,2,1,5,3,5,9,9,20,15,yes
GP,M,16,U,GT3,T,3,3,at_home,other,reputation,other,3,2,0,yes,yes,no,no,no,yes,yes,no,5,3,3,1,3,2,6,7,10,10,yes
GP,M,18,U,LE3,A,3,4,other,services,course,father,2,2,2,yes,no,no,no,yes,yes,no,yes,2,5,2,4,5,5,13,16,17,20,no
GP,M,20,R,LE3,A,1,2,services,services,reputation,father,4,3,0,no,no,yes,yes,no,no,no,no,3,5,3,4,5,5,4,12,15,17,no
GP,F,17,R,GT3,A,3,0,at_home,at_home,other,other,2,1,0,no,yes,no,no,no,yes,yes,no,2,3,5,5,2,4,5,19,19,18,no
GP,F,18,U,GT3,T,4,3,other,other,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,4,1,1,5,9,9,10,9,no
GP,M,21,U,GT3,T,2,3,services,services,course,other,4,3,0,no,yes,yes,no,yes,yes,yes,no,3,2,3,1,3,3,7,4,7,8,yes
MS,M,20,R,LE3,T,0,2,other,health,course,other,1,1,0,yes,no,no,yes,no,no,yes,no,5,4,4,3,1,4,14,6,2,3,yes
MS,F,18,U,LE3,T,2,1,health,other,other,other,2,2,1,no,no,yes,yes,yes,yes,yes,no,1,2,1,1,3,3,19,12,13,9,yes
GP,F,18,U,GT3,T,4,3,at_home,teacher,home,father,1,1,0,yes,no,yes,no,no,no,yes,no,2,5,4,3,2,2,1,15,17,15,yes
MS,F,19,U,LE3,T,2,4,services,health,home,father,4,4,0,yes,no,yes,no,yes,yes,no,yes,5,2,4,3,3,1,20,10,8,6,no
GP,M,20,U,LE3,A,4,1,other,at_home,other,mother,2,2,0,no,no,no,yes,no,no,yes,yes,1,5,1,2,3,3,4,10,7,6,yes
MS,M,15,R,LE3,T,2,0,services,services,home,father,3,1,0,no,yes,no,no,yes,yes,no,yes,5,2,2,3,4,4,21,12,8,9,no
GP,M,18,R,LE3,A,3,4,health,health,reputation,father,1,3,0,yes,no,yes,yes,no,no,yes,no,2,5,3,5,1,4,27,10,14,14,yes
GP,M,15,R,GT3,T,4,0,teacher,teacher,home,mother,2,2,0,yes,no,no,no,yes,no,no,yes,4,4,3,2,4,4,17,12,9,11,yes
GP,F,16,U,GT3,T,2,3,other,other,reputation,mother,1,2,0,yes,yes,yes,yes,yes,yes,no,no,4,4,3,1,3,4,6,8,10,10,no
MS,M,22,U,LE3,A,0,1,other,teacher,course,other,4,1,0,yes,yes,yes,yes,yes,yes,yes,yes,2,3,1,2,2,4,27,11,13,11,yes
GP,M,15,R,LE3,T,0,1,services,services,reputation,father,1,2,0,yes,yes,yes,yes,no,no,no,yes,2,2,3,3,3,5,22,18,20,20,yes
GP,M,21,U,LE3,A,4,1,at_home,services,other,mother,2,2,0,no,yes,no,yes,no,yes,no,yes,3,5,2,2,2,1,7,11,11,14,yes
MS,M,15,R,LE3,A,0,1,services,health,home,other,4,1,0,no,no,yes,no,no,no,yes,no,2,2,4,1,2,3,13,4,3,0,no
GP,F,22,U,LE3,T,3,2,at_home,at_home,home,mother,3,3,1,yes,yes,yes,yes,no,no,no,yes,4,5,5,5,3,4,16,16,20,17,no
MS,F,22,U,LE3,A,3,2,teacher,other,home,mother,2,3,3,no,yes,yes,no,no,yes,no,yes,3,5,2,4,4,2,18,13,15,14,yes
GP,M,19,U,GT3,A,4,2,services,other,other,mother,1,2,1,yes,no,no,yes,no,yes,yes,yes,4,2,3,2,3,4,5,8,9,12,yes
MS,F,15,U,LE3,T,0,1,teacher,other,reputation,other,1,3,0,no,no,no,no,no,yes,no,yes,1,2,5,2,2,1,20,5,4,0,yes
MS,F,18,U,LE3,T,4,0,other,teacher,other,father,1,4,0,yes,yes,no,yes,no,yes,yes,yes,5,5,2,3,5,5,4,13,13,15,yes
MS,F,16,R,GT3,A,1,4,other,teacher,course,mother,2,4,0,yes,yes,no,yes,yes,yes,yes,yes,4,4,4,2,5,1,21,7,11,12,yes
GP,F,21,U,GT3,A,4,2,other,services,reputation,other,1,4,0,no,no,no,no,no,no,yes,yes,2,5,5,1,1,2,18,3,11,15,yes
GP,M,17,U,LE3,A,3,4,health,teacher,course,mother,2,3,0,yes,yes,yes,yes,no,yes,yes,yes,4,2,3,5,2,2,20,15,14,13,yes
MS,M,18,U,GT3,A,0,0,teacher,teacher,course,other,4,1,0,no,yes,no,yes,yes,yes,no,yes,5,2,5,2,4,5,24,11,8,8,yes
GP,F,17,R,GT3,A,2,0,at_home,teacher,course,father,2,3,0,yes,yes,yes,no,yes,yes,yes,yes,3,2,2,2,3,3,9,10,7,11,yes
GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,5,4,10,13,14,yes
MS,M,20,R,GT3,T,3,4,other,other,home,father,3,3,0,yes,yes,yes,yes,yes,no,no,no,3,4,3,2,4,5,26,9,11,12,yes
GP,M,17,R,GT3,T,2,1,other,other,course,mother,1,1,0,no,no,no,no,no,yes,yes,no,4,4,2,2,4,5,0,8,12,12,no
MS,M,17,U,LE3,A,0,2,services,at_home,home,other,4,2,0,yes,yes,no,no,yes,yes,yes,yes,1,3,3,2,5,3,5,7,9,10,yes
MS,F,22,U,GT3,T,3,0,health,health,course,other,2,2,1,yes,yes,yes,yes,no,no,no,yes,1,4,1,3,2,2,3,18,14,16,yes
GP,M,15,U,GT3,A,2,4,at_home,health,reputation,father,1,1,0,yes,no,yes,yes,yes,no,no,yes,3,3,3,1,5,5,4,13,14,11,no
MS,F,19,U,GT3,A,3,4,at_home,at_home,reputation,other,2,1,0,no,yes,no,yes,no,yes,no,no,5,1,4,1,4,3,27,19,16,12,yes
MS,M,22,R,LE3,A,2,4,services,at_home,home,father,2,2,3,no,yes,no,no,yes,no,yes,yes,5,3,1,4,3,4,13,4,7,4,yes
MS,M,17,R,LE3,T,4,0,at_home,health,reputation,other,4,4,0,yes,no,yes,yes,no,yes,no,yes,4,2,2,5,3,1,10,19,15,14,yes
GP,M,17,R,LE3,A,4,3,teacher,teacher,other,father,1,4,0,yes,no,no,yes,yes,no,yes,no,4,1,1,4,1,4,25,17,19,15,no
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,6,5,6,yes
GP,F,19,U,GT3,T,1,3,other,at_home,reputation,mother,4,2,0,no,yes,no,yes,yes,no,no,no,1,4,2,4,2,1,1,19,20,19,yes
MS,F,15,U,GT3,A,4,2,teacher,other,course,mother,4,2,3,yes,no,no,no,no,yes,no,no,5,1,5,3,4,2,5,19,17,14,yes
GP,M,18,U,GT3,A,3,0,other,services,other,father,3,4,2,no,yes,yes,no,no,no,yes,yes,1,2,2,3,4,2,8,16,12,19,yes
GP,F,15,R,LE3,A,0,4,at_home,health,reputation,mother,1,3,1,yes,no,yes,yes,no,yes,no,no,1,3,5,1,5,5,8,9,7,10,yes
GP,F,15,R,GT3,T,3,0,other,at_home,other,other,4,2,0,yes,yes,no,no,yes,no,no,no,4,1,1,3,1,5,1,17,13,12,yes
MS,F,20,U,LE3,A,3,4,health,at_home,course,mother,4,1,0,yes,no,yes,yes,no,no,yes,yes,4,2,5,1,4,4,12,4,0,0,no
GP,M,18,R,GT3,T,1,1,services,teacher,reputation,other,4,3,0,yes,yes,yes,no,yes,yes,yes,no,1,3,4,1,1,3,18,16,13,9,yes
GP,M,18,U,GT3,T,4,3,teacher,other,course,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,5,4,5,2,3,5,0,10,10,9,no
MS,F,20,R,LE3,A,2,2,other,services,course,other,4,1,1,yes,no,no,no,yes,no,yes,yes,1,3,5,1,1,2,2,10,3,8,no
GP,M,16,U,GT3,T,2,2,teacher,teacher,course,mother,4,4,0,yes,no,yes,yes,yes,yes,no,no,5,4,4,1,2,1,17,14,18,20,no
MS,F,20,U,LE3,A,3,3,teacher,services,other,mother,2,2,1,no,yes,no,yes,yes,yes,no,no,5,2,4,1,3,5,2,17,20,20,no
GP,M,21,U,LE3,A,1,3,at_home,teacher,other,other,2,4,0,yes,no,yes,no,no,yes,no,yes,2,3,4,5,1,2,28,9,13,11,yes
MS,F,22,U,GT3,A,3,4,at_home,health,home,mother,1,1,0,no,yes,no,no,yes,no,yes,no,4,2,5,4,3,2,11,9,13,13,yes
MS,M,22,R,LE3,T,4,2,teacher,at_home,course,mother,1,3,1,yes,yes,no,yes,no,no,no,yes,2,2,3,2,3,5,27,10,6,10,yes
GP,M,18,R,LE3,T,1,3,services,teacher,other,mother,3,3,0,no,yes,no,no,yes,yes,no,yes,1,3,4,3,5,5,26,4,8,10,yes
MS,M,21,R,GT3,T,2,3,at_home,at_home,other,father,3,2,0,yes,no,no,no,no,no,no,yes,3,3,3,3,1,2,20,4,5,5,yes
MS,M,16,R,GT3,A,4,2,at_home,teacher,course,other,3,4,0,yes,no,yes,yes,yes,yes,yes,yes,3,1,3,4,5,3,14,14,18,20,no
GP,M,16,U,GT3,A,0,1,at_home,health,home,father,2,4,0,yes,yes,no,yes,no,yes,yes,no,1,2,3,5,4,1,10,17,16,18,yes
GP,M,15,R,LE3,T,1,4,services,services,home,other,4,2,0,no,no,no,no,no,no,no,yes,3,4,2,5,5,2,23,11,9,7,yes
MS,M,19,R,LE3,T,1,1,at_home,services,course,father,1,2,0,no,no,no,no,no,yes,yes,no,5,3,1,4,3,5,4,17,15,16,no
GP,M,16,U,LE3,A,0,0,other,teacher,course,mother,3,3,0,yes,no,no,yes,no,yes,no,no,1,3,3,5,3,5,10,17,19,20,no
